time,price
2017-11-03 12:30:13.800,1279.165
2017-11-03 12:30:13.900,1278.924
2017-11-03 12:30:14.000,1278.924
2017-11-03 12:30:14.100,1278.924
2017-11-03 12:30:14.200,1278.9
2017-11-03 12:30:14.300,1278.95
2017-11-03 12:30:14.400,1278.905
2017-11-03 12:30:14.500,1278.905
2017-11-03 12:30:14.600,1278.905
2017-11-03 12:30:14.700,1279.03
2017-11-03 12:30:14.800,1279.035
2017-11-03 12:30:14.900,1278.985
2017-11-03 12:30:15.000,1279.01
2017-11-03 12:30:15.100,1279.065
2017-11-03 12:30:15.200,1279.065
2017-11-03 12:30:15.300,1279.01
2017-11-03 12:30:15.400,1279.01
2017-11-03 12:30:15.500,1279.01
2017-11-03 12:30:15.600,1279.065
2017-11-03 12:30:15.700,1279.065
2017-11-03 12:30:15.800,1279.17
2017-11-03 12:30:15.900,1279.235
2017-11-03 12:30:16.000,1279.14
2017-11-03 12:30:16.100,1279.06
2017-11-03 12:30:16.200,1279.05
2017-11-03 12:30:16.300,1279.03
2017-11-03 12:30:16.400,1279.045
2017-11-03 12:30:16.500,1279.15
2017-11-03 12:30:16.600,1279.0835
2017-11-03 12:30:16.700,1279.105
2017-11-03 12:30:16.800,1279.065
2017-11-03 12:30:16.900,1278.91
2017-11-03 12:30:17.000,1278.91
2017-11-03 12:30:17.100,1278.935
2017-11-03 12:30:17.200,1278.935
2017-11-03 12:30:17.300,1278.86
2017-11-03 12:30:17.400,1278.925
2017-11-03 12:30:17.500,1278.9
2017-11-03 12:30:17.600,1278.87
2017-11-03 12:30:17.700,1278.865
2017-11-03 12:30:17.800,1278.865
2017-11-03 12:30:17.900,1278.865
2017-11-03 12:30:18.000,1278.94
2017-11-03 12:30:18.100,1278.86
2017-11-03 12:30:18.200,1278.8185
2017-11-03 12:30:18.300,1278.775
2017-11-03 12:30:18.400,1278.76
2017-11-03 12:30:18.500,1278.86
2017-11-03 12:30:18.600,1278.86
2017-11-03 12:30:18.700,1278.86
2017-11-03 12:30:18.800,1278.75
2017-11-03 12:30:18.900,1278.775
2017-11-03 12:30:19.000,1278.79
2017-11-03 12:30:19.100,1278.79
2017-11-03 12:30:19.200,1278.79
2017-11-03 12:30:19.300,1278.745
2017-11-03 12:30:19.400,1278.785
2017-11-03 12:30:19.500,1278.78
2017-11-03 12:30:19.600,1278.61
2017-11-03 12:30:19.700,1278.56
2017-11-03 12:30:19.800,1278.56
