timestamp,actual,forecast,previous
1984/5/4 12:30,363,nan,275
1984/6/1 12:30,308,nan,363
1984/7/6 12:30,379,nan,308
1984/8/3 12:30,313,nan,379
1984/9/7 12:30,242,nan,313
1984/10/5 12:30,310,nan,242
1984/11/2 12:30,286,nan,310
1984/12/7 12:30,349,nan,286
1985/1/4 12:30,128,nan,349
1985/2/1 12:30,266,nan,128
1985/3/1 12:30,124,nan,266
1985/4/5 12:30,346,nan,124
1985/5/3 12:30,196,nan,346
1985/6/7 12:30,274,nan,196
1985/7/5 12:30,146,nan,274
1985/8/2 12:30,190,nan,146
1985/9/6 12:30,193,nan,190
1985/10/4 12:30,203,nan,193
1985/11/1 12:30,188,nan,203
1985/12/6 12:30,209,nan,188
1986/1/3 12:30,167,nan,209
1986/2/7 12:30,125,nan,167
1986/3/7 12:30,107,nan,125
1986/4/4 12:30,94,nan,107
1986/5/2 12:30,187,nan,94
1986/6/6 12:30,127,nan,187
1986/7/4 12:30,-94,nan,127
1986/8/1 12:30,318,nan,-94
1986/9/5 12:30,114,nan,318
1986/10/3 12:30,347,nan,114
1986/11/7 12:30,186,nan,347
1986/12/5 12:30,186,nan,186
1987/1/2 12:30,205,nan,186
1987/2/6 12:30,172,nan,205
1987/3/6 12:30,232,nan,172
1987/4/3 12:30,249,nan,232
1987/5/1 12:30,338,nan,249
1987/6/5 12:30,226,nan,338
1987/7/3 12:30,172,nan,226
1987/8/7 12:30,347,nan,172
1987/9/4 12:30,171,nan,347
1987/10/2 12:30,228,nan,171
1987/11/6 12:30,492,nan,228
1987/12/4 12:30,232,nan,492
1988/1/1 12:30,294,nan,232
1988/2/5 12:30,94,nan,294
1988/3/4 12:30,453,nan,94
1988/4/1 12:30,276,nan,453
1988/5/6 12:30,245,nan,276
1988/6/3 12:30,229,nan,245
1988/7/1 12:30,363,nan,229
1988/8/5 12:30,222,nan,363
1988/9/2 12:30,124,nan,222
1988/10/7 12:30,339,nan,124
1988/11/4 12:30,268,nan,339
1988/12/2 12:30,339,nan,268
1989/1/6 12:30,290,nan,339
1989/2/3 12:30,262,nan,290
1989/3/3 12:30,258,nan,262
1989/4/7 12:30,193,nan,258
1989/5/5 12:30,173,nan,193
1989/6/2 12:30,118,nan,173
1989/7/7 12:30,116,nan,118
1989/8/4 12:30,40,nan,116
1989/9/1 12:30,49,nan,40
1989/10/6 12:30,250,nan,49
1989/11/3 12:30,111,nan,250
1989/12/1 12:30,277,nan,111
1990/1/5 12:30,96,nan,277
1990/2/2 12:30,335,nan,96
1990/3/2 12:30,248,nan,335
1990/4/6 12:30,215,nan,248
1990/5/4 12:30,40,nan,215
1990/6/1 12:30,152,nan,40
1990/7/6 12:30,23,nan,152
1990/8/3 12:30,-28,nan,23
1990/9/7 12:30,-221,nan,-28
1990/10/5 12:30,-88,nan,-221
1990/11/2 12:30,-159,nan,-88
1990/12/7 12:30,-150,nan,-159
1991/1/4 12:30,-56,nan,-150
1991/2/1 12:30,-120,nan,-56
1991/3/1 12:30,-305,nan,-120
1991/4/5 12:30,-158,nan,-305
1991/5/3 12:30,-211,nan,-158
1991/6/7 12:30,-125,nan,-211
1991/7/5 12:30,97,nan,-125
1991/8/2 12:30,-36,nan,97
1991/9/6 12:30,6,nan,-36
1991/10/4 12:30,32,nan,6
1991/11/1 12:30,16,nan,32
1991/12/6 12:30,-57,nan,16
1992/1/3 12:30,25,nan,-57
1992/2/7 12:30,53,nan,25
1992/3/6 12:30,-63,nan,53
1992/4/3 12:30,54,nan,-63
1992/5/1 12:30,159,nan,54
1992/6/5 12:30,127,nan,159
1992/7/3 12:30,67,nan,127
1992/8/7 12:30,68,nan,67
1992/9/4 12:30,141,nan,68
1992/10/2 12:30,36,nan,141
1992/11/6 12:30,180,nan,36
1992/12/4 12:30,138,nan,180
1993/1/1 12:30,211,nan,138
1993/2/5 12:30,310,nan,211
1993/3/5 12:30,242,nan,310
1993/4/2 12:30,-49,nan,242
1993/5/7 12:30,308,nan,-49
1993/6/4 12:30,267,nan,308
1993/7/2 12:30,181,nan,267
1993/8/6 12:30,298,nan,181
1993/9/3 12:30,160,nan,298
1993/10/1 12:30,239,nan,160
1993/11/5 12:30,286,nan,239
1993/12/3 12:30,262,nan,286
1994/1/7 12:30,312,nan,262
1994/2/4 12:30,272,nan,312
1994/3/4 12:30,200,nan,272
1994/4/1 12:30,465,nan,200
1994/5/6 12:30,349,nan,465
1994/6/3 12:30,334,nan,349
1994/7/1 12:30,316,nan,334
1994/8/5 12:30,378,nan,316
1994/9/2 12:30,277,nan,378
1994/10/7 12:30,352,nan,277
1994/11/4 12:30,213,nan,352
1994/12/2 12:30,420,nan,213
1995/1/6 12:30,275,nan,420
1995/2/3 12:30,326,nan,275
1995/3/3 12:30,203,nan,326
1995/4/7 12:30,222,nan,203
1995/5/5 12:30,162,nan,222
1995/6/2 12:30,-16,nan,162
1995/7/7 12:30,235,nan,-16
1995/8/4 12:30,102,nan,235
1995/9/1 12:30,248,nan,102
1995/10/6 12:30,242,nan,248
1995/11/3 12:30,154,nan,242
1995/12/1 12:30,149,nan,154
1996/1/5 12:30,133,nan,149
1996/2/2 12:30,-19,nan,133
1996/3/1 12:30,431,nan,-19
1996/4/5 12:30,267,nan,431
1996/5/3 12:30,164,nan,267
1996/6/7 12:30,321,nan,164
1996/7/5 12:30,288,nan,321
1996/8/2 12:30,256,nan,288
1996/9/6 12:30,172,nan,256
1996/10/4 12:30,225,nan,172
1996/11/1 12:30,250,nan,225
1996/12/6 12:30,298,nan,250
1997/1/3 12:30,171,nan,298
1997/2/7 12:30,235,nan,171
1997/3/7 12:30,303,nan,235
1997/4/4 12:30,316,nan,303
1997/5/2 12:30,292,nan,316
1997/6/6 12:30,259,nan,292
1997/7/4 12:30,267,nan,259
1997/8/1 12:30,313,nan,267
1997/9/5 12:30,-39,nan,313
1997/10/3 12:30,512,nan,-39
1997/11/7 12:30,341,nan,512
1997/12/5 12:30,306,nan,341
1998/1/2 12:30,303,nan,306
1998/2/6 12:30,276,nan,303
1998/3/6 12:30,196,nan,276
1998/4/3 12:30,151,nan,196
1998/5/1 12:30,279,nan,151
1998/6/5 12:30,406,nan,279
1998/7/3 12:30,218,nan,406
1998/8/7 12:30,124,nan,218
1998/9/4 12:30,347,nan,124
1998/10/2 12:30,223,nan,347
1998/11/6 12:30,198,nan,223
1998/12/4 12:30,282,nan,198
1999/1/1 12:30,347,nan,282
1999/2/5 12:30,125,nan,347
1999/3/5 12:30,411,nan,125
1999/4/2 12:30,107,nan,411
1999/5/7 12:30,376,nan,107
1999/6/4 12:30,211,nan,376
1999/7/2 12:30,261,nan,211
1999/8/6 12:30,319,nan,261
1999/9/3 12:30,166,nan,319
1999/10/1 12:30,214,nan,166
1999/11/5 12:30,400,nan,214
1999/12/3 12:30,292,nan,400
2000/1/7 12:30,295,nan,292
2000/2/4 12:30,231,nan,295
2000/3/3 12:30,130,nan,231
2000/4/7 12:30,467,nan,130
2000/5/5 12:30,287,nan,467
2000/6/2 12:30,226,nan,287
2000/7/7 12:30,-47,nan,226
2000/8/4 12:30,179,nan,-47
2000/9/1 12:30,-15,nan,179
2000/10/6 12:30,135,nan,-15
2000/11/3 12:30,-15,nan,135
2000/12/8 12:30,225,nan,-15
2001/1/5 12:30,142,nan,225
2001/2/2 12:30,-27,nan,142
2001/3/9 12:30,71,nan,-27
2001/4/6 12:30,-25,nan,71
2001/5/4 12:30,-282,nan,-25
2001/6/1 12:30,-38,nan,-282
2001/7/6 12:30,-131,nan,-38
2001/8/3 12:30,-112,nan,-131
2001/9/7 12:30,-160,nan,-112
2001/10/5 12:30,-241,nan,-160
2001/11/2 12:30,-325,nan,-241
2001/12/7 12:30,-294,nan,-325
2002/1/4 12:30,-171,nan,-294
2002/2/1 12:30,-139,nan,-171
2002/3/8 12:30,-134,nan,-139
2002/4/5 12:30,-20,nan,-134
2002/5/3 12:30,-80,nan,-20
2002/6/7 12:30,-8,nan,-80
2002/7/5 12:30,56,nan,-8
2002/8/2 12:30,-84,nan,56
2002/9/6 12:30,-16,nan,-84
2002/10/4 12:30,-60,nan,-16
2002/11/1 12:30,125,nan,-60
2002/12/6 12:30,10,nan,125
2003/1/10 12:30,-157,nan,10
2003/2/7 12:30,91,nan,-157
2003/3/7 12:30,-151,nan,91
2003/4/4 12:30,-210,nan,-151
2003/5/2 12:30,-44,nan,-210
2003/6/6 12:30,-10,nan,-44
2003/7/3 12:30,9,nan,-10
2003/8/1 12:30,24,nan,9
2003/9/5 12:30,-43,nan,24
2003/10/3 12:30,103,nan,-43
2003/11/7 12:30,196,nan,103
2003/12/5 12:30,17,nan,196
2004/1/9 12:30,123,nan,17
2004/2/6 12:30,160,nan,123
2004/3/5 12:30,46,nan,160
2004/4/2 12:30,331,nan,46
2004/5/7 12:30,248,nan,331
2004/6/4 12:30,308,nan,248
2004/7/2 12:30,74,nan,308
2004/8/6 12:30,33,nan,74
2004/9/3 12:30,132,nan,33
2004/10/8 12:30,162,nan,132
2004/11/5 12:30,345,nan,162
2004/12/3 12:30,64,nan,345
2005/1/7 12:30,129,nan,64
2005/2/4 12:30,134,nan,129
2005/3/4 12:30,239,nan,134
2005/4/1 12:30,135,nan,239
2005/5/6 12:30,363,nan,135
2005/6/3 12:30,176,nan,363
2005/7/8 12:30,243,nan,176
2005/8/5 12:30,375,nan,243
2005/9/2 12:30,196,nan,375
2005/10/7 12:30,66,nan,196
2005/11/4 12:30,84,nan,66
2005/12/2 12:30,337,nan,84
2006/1/6 12:30,158,nan,337
2006/2/3 12:30,277,nan,158
2006/3/10 12:30,315,nan,277
2006/4/7 12:30,281,nan,315
2006/5/5 12:30,182,nan,281
2006/6/2 12:30,24,nan,182
2006/7/7 12:30,77,nan,24
2006/8/4 12:30,206,nan,77
2006/9/1 12:30,185,nan,206
2006/10/6 12:30,156,nan,185
2006/11/3 12:30,3,nan,156
2006/12/8 12:30,209,nan,3
2007/1/5 12:30,172,nan,209
2007/2/2 12:30,237,nan,172
2007/3/9 12:30,88,nan,237
2007/4/6 12:30,188,nan,88
2007/5/4 12:30,78,nan,188
2007/6/1 12:30,145,nan,78
2007/7/6 12:30,71,nan,145
2007/8/3 12:30,-34,nan,71
2007/9/7 12:30,-17,nan,-34
2007/10/5 12:30,86,nan,-17
2007/11/2 12:30,83,nan,86
2007/12/7 12:30,117,nan,83
2008/1/4 12:30,97,nan,117
2008/2/1 12:30,-17,nan,97
2008/3/7 13:30,-63,25,-17
2008/4/4 12:30,-80,-50,-63
2008/5/2 12:30,-20,-80,-80
2008/6/6 13:30,-49,-57,-20
2008/7/3 12:30,-62,-60,-49
2008/8/1 12:30,-51,-75,-62
2008/9/5 12:30,-84,-73,-51
2008/10/3 12:30,-159,-100,-84
2008/11/7 13:30,-240,-200,-159
2008/12/5 13:30,-533,-320,-240
2009/1/9 13:30,-524,-475,-533
2009/2/6 13:30,-598,-530,-524
2009/3/6 13:30,-651,-636,-598
2009/4/3 12:30,-699,-662,-651
2009/5/8 12:30,-504,-580,-699
2009/6/5 12:30,-322,-521,-504
2009/7/2 12:30,-443,-375,-322
2009/8/7 12:30,-276,-330,-443
2009/9/4 12:30,-201,-220,-276
2009/10/2 12:30,-219,-190,-201
2009/11/6 13:30,-111,-166,-219
2009/12/4 13:30,4,-114,-111
2010/1/8 13:30,-150,0,4
2010/2/5 13:30,-26,15,-150
2010/3/5 13:30,-14,-55,-26
2010/4/2 12:30,230,190,-14
2010/5/7 12:30,290,187,230
2010/6/4 12:30,433,500,290
2010/7/2 12:30,-221,-100,433
2010/8/6 12:30,-54,-65,-221
2010/9/3 12:30,-57,-118,-54
2010/10/8 12:30,-41,3,-57
2010/11/5 12:30,172,60,-41
2010/12/3 13:30,71,140,172
2011/1/7 13:30,121,150,71
2011/2/4 13:30,63,150,121
2011/3/4 13:30,194,180,63
2011/4/1 12:30,221,188,194
2011/5/6 12:30,232,185,221
2011/6/3 12:30,25,169,232
2011/7/8 12:30,46,89,25
2011/8/5 12:30,85,95,46
2011/9/2 12:30,57,74,85
2011/10/7 12:30,158,53,57
2011/11/4 12:30,100,95,158
2011/12/2 13:30,100,120,100
2012/1/6 13:30,203,150,100
2012/2/3 13:30,284,150,203
2012/3/9 13:30,240,210,284
2012/4/6 12:30,154,203,240
2012/5/4 12:30,77,170,154
2012/6/1 12:30,77,150,77
2012/7/6 12:30,64,90,77
2012/8/3 12:30,141,100,64
2012/9/7 12:30,142,125,141
2012/10/5 12:30,148,113,142
2012/11/2 12:30,138,125,148
2012/12/7 13:30,161,93,138
2013/1/4 13:30,196,150,161
2013/2/1 13:30,119,160,196
2013/3/8 13:30,268,160,119
2013/4/5 12:30,138,200,268
2013/5/3 12:30,149,145,138
2013/6/7 12:30,195,170,149
2013/7/5 12:30,188,165,195
2013/8/2 12:30,104,184,188
2013/9/6 12:30,193,180,104
2013/10/22 12:30,163,180,193
2013/11/8 13:30,200,125,163
2013/12/6 13:30,241,180,200
2014/1/10 13:30,75,196,241
2014/2/7 13:30,129,185,75
2014/3/7 13:30,197,149,129
2014/4/4 12:30,203,200,197
2014/5/2 12:30,282,210,203
2014/6/6 12:30,224,218,282
2014/7/3 12:30,298,212,224
2014/8/1 12:30,212,233,298
2014/9/5 12:30,180,225,212
2014/10/3 12:30,256,215,180
2014/11/7 13:30,243,231,256
2014/12/5 13:30,353,225,243
2015/1/9 13:30,329,240,353
2015/2/6 13:30,239,234,329
2015/3/6 13:30,264,240,239
2015/4/3 12:30,85,245,264
2015/5/8 12:30,221,224,85
2015/6/5 12:30,254,225,221
2015/7/2 12:30,231,230,254
2015/8/7 12:30,245,223,231
2015/9/4 12:30,136,220,245
2015/10/2 12:30,137,203,136
2015/11/6 13:30,298,180,137
2015/12/4 13:30,252,200,298
2016/1/8 13:30,262,200,252
2016/2/5 13:30,172,190,262
2016/3/4 13:30,245,190,172
2016/4/1 12:30,208,205,245
2016/5/6 12:30,123,202,208
2016/6/3 12:30,11,164,123
2016/7/8 12:30,292,175,11
2016/8/5 12:30,275,180,292
2016/9/2 12:30,167,180,275
2016/10/7 12:30,191,175,167
2016/11/4 12:30,142,175,191
2016/12/2 13:30,204,175,142
2017/1/6 13:30,157,178,204
2017/2/3 13:30,238,175,157
2017/3/10 13:30,219,200,238
2017/4/7 12:30,79,180,219
2017/5/5 12:30,174,185,79
2017/6/2 12:30,152,185,174
2017/7/7 12:30,231,179,152
2017/8/4 12:30,189,183,231
2017/9/1 12:30,169,180,189
2017/10/6 12:30,18,90,169
2017/11/3 12:30,244,310,18
2017/12/8 13:30,252,200,244
2018/1/5 13:30,160,190,252
2018/2/2 13:30,239,184,160
2018/3/9 13:30,326,200,239
2018/4/6 12:30,135,193,326
2018/5/4 12:30,159,189,135
2018/6/1 12:30,244,189,159
2018/7/6 12:30,248,200,244
2018/8/3 12:30,147,193,248
2018/9/7 12:30,270,191,147
2018/10/5 12:30,118,185,270
2018/11/2 12:30,237,193,118
2018/12/7 13:30,176,200,237
2019/1/4 13:30,222,178,176
2019/2/1 13:30,311,165,222
2019/3/8 13:30,33,181,311
2019/4/5 12:30,196,175,33
2019/5/3 12:30,263,181,189
